BindingDB	Canonical_Smiles	IC50	PubChem
50352822	Clc1cc(ccc1Cl)[C@H](NC(=O)c1cc2c(cc1)cncc2)C1CC[NH+](CC1)Cc1ccc(cc1)C(F)(F)F	25000	56669074
50150697	O=C1NC(=O)C(=C1c1c2cc(cc3CN(CCn(c1)c23)C(=O)N1CCCCC1)C)c1n2c(nc1)C=CC=C2	20000	44396134
50265259	O=C(NC1CC1)c1cc(-c2cc3c(cc2)ccnc3)c(cc1)C	20000	44580649
50263093	O=C(NC1CC1)c1cc(-c2ccc(cc2)C(=O)NCC2CC2)c(cc1)C	20000	24856363
50265287	O=C(Nc1cc(-c2cc3c(cc2)ccnc3)c(cc1)C)c1ccc(cc1)C[NH+]1CC[NH+](CC1)C	20000	44580689
50265370	o1nc(N)c2c1cc(cc2)-c1cc(NC(=O)c2ccc(cc2)C[NH+]2CC[NH+](CC2)C)ccc1C	20000	44580778
50265033	o1c(nnc1C)-c1cc(C)c(cc1)-c1cc(ccc1C)C(=O)NC1CC1	20000	10089048
50265154	O=C1N(N=Nc2c1ccc(c2)-c1cc(ccc1C)C(=O)NC1CC1)CC1CC1	20000	44580532
50265069	o1c(nnc1C)-c1cc(C)c(cc1)-c1cc(NC(=O)c2ccc(cc2)C[NH+]2CC[NH+](CC2)C)ccc1C	20000	44580449
50265034	o1c(nnc1C)-c1cc(C)c(cc1)-c1cc(ccc1C)C(=O)Nc1cc(N2CCOCC2)ccc1	20000	44580420
50264756	o1nc(c2c1cc(cc2)-c1cc(NC(=O)c2cc(ncc2)N2CCCC2)ccc1C)C1CC[NH2+]CC1	20000	44580077
50264755	O1CCN(CC1)c1cc(NC(=O)c2cc(-c3cc4onc(c4cc3)C3CC[NH2+]CC3)c(cc2)C)ccc1	20000	9983303
50265035	o1c(nnc1C)-c1cc(C)c(cc1)-c1cc(NC(=O)c2cc(ncc2)N2CCCC2)ccc1C	20000	10479082
50265371	o1nc(c2c1cc(cc2)-c1cc(ccc1C)C(=O)NC1CC1)C1CC[NH2+]CC1	20000	9864418
50306854	O1c2cc(c3c(c4c(cc3[N+](=O)[O-])cccc4)c2OC1)C(=O)[O-]	20000	108168
50306855	O1c2cc(c3c(c4c(cc3[N+](=O)[O-])c(OC)ccc4)c2OC1)C(=O)[O-]	20000	2236
50306856	O1c2cc(c3c(c4c(c(OC)c3[N+](=O)[O-])c(OC)ccc4)c2OC1)C(=O)[O-]	20000	46233015
50306857	O1c2cc(c3c(c4c(cc3[N+](=O)[O-])c(OC)cc(OC)c4)c2OC1)C(=O)[O-]	20000	167493
50306862	O1c2cc(c3c(c4cc(OC)ccc4cc3[N+](=O)[O-])c2OC1)C(=O)[O-]	20000	3084007
